max_phase,molecule_chembl_id,pref_name
,CHEMBL20976,
,CHEMBL20700,
,CHEMBL20302,
,CHEMBL278585,
,CHEMBL20804,
,CHEMBL26929,
,CHEMBL291300,
,CHEMBL38322,
,CHEMBL287975,
,CHEMBL37508,
,CHEMBL286353,
,CHEMBL39445,
,CHEMBL39615,
,CHEMBL39941,
,CHEMBL288933,
,CHEMBL289767,
,CHEMBL412640,
,CHEMBL288623,
,CHEMBL40676,
,CHEMBL38514,
,CHEMBL418484,
,CHEMBL71883,
,CHEMBL71616,
,CHEMBL305461,
,CHEMBL444590,
,CHEMBL108241,
,CHEMBL123014,
,CHEMBL122538,
,CHEMBL331172,
,CHEMBL122758,
,CHEMBL124411,
,CHEMBL129768,
,CHEMBL340532,
,CHEMBL446358,
,CHEMBL140406,
,CHEMBL148055,
,CHEMBL143110,
,CHEMBL146144,
,CHEMBL172161,
,CHEMBL171181,
,CHEMBL172556,
,CHEMBL172363,
,CHEMBL173190,
,CHEMBL366459,
,CHEMBL367435,
,CHEMBL174083,
,CHEMBL175300,
,CHEMBL277302,
,CHEMBL1180325,
,CHEMBL1180355,
,CHEMBL1180362,
,CHEMBL1180370,
,CHEMBL1189696,
,CHEMBL1189923,
,CHEMBL1190020,
,CHEMBL1191160,
,CHEMBL1191374,
,CHEMBL1191591,
,CHEMBL1191799,
,CHEMBL1192357,
,CHEMBL1192565,
,CHEMBL1192620,
,CHEMBL1192820,
,CHEMBL1193162,
,CHEMBL1193619,
,CHEMBL1193817,
,CHEMBL1193819,
,CHEMBL1193960,
,CHEMBL1194154,
,CHEMBL1194166,
,CHEMBL1194374,
,CHEMBL1195388,
,CHEMBL1195566,
,CHEMBL1195653,
,CHEMBL1196028,
,CHEMBL1196748,
4.0,CHEMBL1201201,METHAMPHETAMINE
,CHEMBL1907643,
,CHEMBL1907644,N-BENZYLAMPHETAMINE
,CHEMBL1907645,
,CHEMBL1907646,
,CHEMBL1907647,
,CHEMBL1907648,
,CHEMBL1907649,
,CHEMBL1907650,
,CHEMBL19544,
,CHEMBL19355,
2.0,CHEMBL282567,PROADIFEN
,CHEMBL37186,
