action_type,molecule_chembl_id,parent_molecule_chembl_id
,CHEMBL1006,CHEMBL1006
,CHEMBL1200559,CHEMBL1200559
,CHEMBL504,CHEMBL504
,CHEMBL942,CHEMBL942
,CHEMBL269671,CHEMBL269671
,CHEMBL70927,CHEMBL70927
CHELATING AGENT,CHEMBL1413,CHEMBL1413
,CHEMBL975,CHEMBL1098319
,CHEMBL980,CHEMBL980
,CHEMBL1366,CHEMBL1366
CHELATING AGENT,CHEMBL1413,CHEMBL1413
INHIBITOR,CHEMBL112,CHEMBL112
OPENER,CHEMBL112,CHEMBL112
ANTAGONIST,CHEMBL2103873,CHEMBL2103873
INHIBITOR,CHEMBL139,CHEMBL139
INHIBITOR,CHEMBL34259,CHEMBL34259
INHIBITOR,CHEMBL932,CHEMBL932
,CHEMBL205596,CHEMBL205596
PARTIAL AGONIST,CHEMBL2105760,CHEMBL2105760
PARTIAL AGONIST,CHEMBL2105760,CHEMBL2105760
ANTAGONIST,CHEMBL2105760,CHEMBL2105760
ANTAGONIST,CHEMBL296419,CHEMBL296419
AGONIST,CHEMBL547,CHEMBL547
MODULATOR,CHEMBL2024517,CHEMBL2028019
MODULATOR,CHEMBL2024517,CHEMBL2028019
INHIBITOR,CHEMBL4751394,CHEMBL4751394
INHIBITOR,CHEMBL4751394,CHEMBL4751394
ANTAGONIST,CHEMBL260933,CHEMBL260933
AGONIST,CHEMBL214268,CHEMBL214268
ANTAGONIST,CHEMBL561132,CHEMBL561132
INHIBITOR,CHEMBL3137331,CHEMBL3137331
INHIBITOR,CHEMBL3137331,CHEMBL3137331
INHIBITOR,CHEMBL119385,CHEMBL119385
ANTAGONIST,CHEMBL1215661,CHEMBL1215661
ANTAGONIST,CHEMBL2105667,CHEMBL2105667
AGONIST,CHEMBL3039520,CHEMBL3039520
ANTAGONIST,CHEMBL3039531,CHEMBL3039531
ANTAGONIST,CHEMBL2381848,CHEMBL2381848
MODULATOR,CHEMBL3545036,CHEMBL3545036
PARTIAL AGONIST,CHEMBL3235279,CHEMBL3235279
ANTAGONIST,CHEMBL567303,CHEMBL567303
MODULATOR,CHEMBL2107572,CHEMBL292376
ANTAGONIST,CHEMBL419667,CHEMBL419667
ANTAGONIST,CHEMBL419667,CHEMBL419667
ANTAGONIST,CHEMBL426559,CHEMBL426559
ANTAGONIST,CHEMBL1672054,CHEMBL1672054
AGONIST,CHEMBL209821,CHEMBL209821
ANTAGONIST,CHEMBL52333,CHEMBL52333
ANTAGONIST,CHEMBL74355,CHEMBL74355
MODULATOR,CHEMBL596802,CHEMBL596802
NEGATIVE ALLOSTERIC MODULATOR,CHEMBL190461,CHEMBL190461
INHIBITOR,CHEMBL1169,CHEMBL1169
INHIBITOR,CHEMBL468,CHEMBL468
AGONIST,CHEMBL19236,CHEMBL19236
INHIBITOR,CHEMBL175,CHEMBL175
AGONIST,CHEMBL2105872,CHEMBL13817
ANTAGONIST,CHEMBL1016,CHEMBL1016
INHIBITOR,CHEMBL1540,CHEMBL1540
AGONIST,CHEMBL656,CHEMBL656
,CHEMBL291338,CHEMBL291338
,CHEMBL267894,CHEMBL267894
INHIBITOR,CHEMBL515914,CHEMBL515914
INHIBITOR,CHEMBL340978,CHEMBL340978
,CHEMBL290106,CHEMBL290106
